# %ECSV 0.9
# ---
# datatype:
# - {name: meta_ID, datatype: int64}
# - {name: src_names, datatype: string}
# - {name: significance, datatype: float32}
# - {name: ra, datatype: float32}
# - {name: dec, datatype: float32}
# - {name: NEW_SOURCE, datatype: uint16}
# - {name: ISGRI_FLAG, datatype: int64}
# - {name: FLAG, datatype: int64}
# - {name: ERR_RAD, datatype: float64}
# meta: !!omap
# - {FRAME: fk5}
# - {LAT_NAME: dec}
# - {COORD_UNIT: deg}
# - {LON_NAME: ra}
# schema: astropy-2.0
meta_ID src_names significance ra dec NEW_SOURCE ISGRI_FLAG FLAG ERR_RAD
69 "XTE J1709-267" 1.40434 257.377 -26.6555 0 2 0 0.000169999999343
70 "IGR J17098-3628" 1.5849 257.441 -36.4663 0 1 0 0.000969999993686
71 "IGR J17099-2418" 0.803135 257.466 -24.302 0 1 0 0.056669998914
72 "XTE J1710-281" 1.67769 257.551 -28.1317 0 2 0 0.000280000007479
73 "4U 1708-40" 0.836806 258.099 -40.8428 0 2 0 0.000169999999343
74 "Oph Cluster" 1.30284 258.108 -23.3631 0 1 0 0.00999999977648
75 "SAX J1712.6-3739" 0.731667 258.142 -37.6433 0 1 0 0.00167000002693
76 "V2400 Oph" 1.47233 258.152 -24.2457 0 2 0 0.000280000007479
77 "RX J1713.7-3946" 1.09858 258.388 -39.7622 0 1 0 0.033330000937
78 "XTE J1716-389" 1.49598 258.983 -38.865 0 2 0 0.000169999999343
79 "IGR J17164-3803" 0.704074 259.123 -38.04 0 1 0 0.035000000149
80 "IGR J17174-2436" 0.01614 259.335 -24.606 0 1 0 0.0250000003725
81 "IGR J17177-3656" 0.45106 259.428 -36.9346 0 2 0 0.000159999995958
82 "XMMSL1 J171900.4-353" 0.128367 259.752 -35.5381 0 1 0 0.00221999990754
83 "IGR J17191-2821" 0.14674 259.813 -28.2992 0 1 0 0.00110999995377
84 "IGR J17196-1836" 0.0 0.0 0.0 0 1 0 0.0799999982119
